id,project_id,content,author,timestamp
43,51,"EL lunes 7/7/25 Chris consultó a Sami Bou Zeid (Project manager de Concorde) acerca del status del proyecto y le respondieron lo siguiente: 'Hi Chris,I haven’t gotten around to buying out siding yet but will reach out when I do.Thanks for the follow up'.",Admin,2025-07-08 18:10:28
45,47,El due date inicial era para el 06/26/25. Kevin habló con William y le comentó que el nuevo Due Date es para 07/08/25,Admin,2025-07-08 19:54:33
46,24,Estamos entre 8-10% arriba.,Admin,2025-07-10 19:45:56
47,52,Este mes de Julio ya lo ganó Edifice. Van  darnos planos actualizados este mes de Julio_2025.,Admin,2025-07-10 19:58:02
48,52,Este proyecto ya lo ganó Edifice. Van  darnos planos actualizados este mes de Julio_2025.,Admin,2025-07-10 20:00:07
49,13,Kevi ya envió el nuevo Proposal y Claire respondió pidiendo proposals por Buildings por separado.,Admin,2025-07-11 12:06:03
50,48,"•	Additional board and batten have been added to the elevations.

•	More beams are now specified to be fully wrapped with fiber cement trim.

•	The number of fiber cement wrapped columns has increased.
",Admin,2025-07-11 15:21:32
51,24,JC va a hacer el material list para Lansing.,Admin,2025-07-11 16:00:23
52,48,"Robert Webster respondió el correo a Kevin:
-Please also fill out the bid form within building connected.

 ",Admin,2025-07-11 20:30:53
53,48,Bid Form: https://app.buildingconnected.com/opportunities/682b7bcab916ff00392c7295/bid,Admin,2025-07-11 20:47:18
54,28,"Enviamos el Proposal a Yunnan de Embrey y nos respondió: Good afternoon Alain,Thanks! I’ll review and get back to you with any questions we may have.",Admin,2025-07-14 20:29:20
55,58,This project is going thru a redesign phase and is currently on hold.,Admin,2025-07-14 20:42:31
56,48,"Kevin hizo el bid form con el proposal actualizado y escribió : I just wanted to give you a heads up that we have completed and uploaded the bid form for Alta Watkins. I also wanted to let you know that after reviewing a bit closer, we were able to find some savings within material costs, and we have generated an updated proposal for you. I have attached it here for your review and it can also be found in Building Connected.
If you have any questions, please let me know.",Admin,2025-07-14 20:48:32
57,51,Juan carlos sugirió no presentar proposal para este proyecto.,Admin,2025-07-17 14:34:53
58,27,Etapa de compatibilización con los planos actualizados.,Admin,2025-07-18 13:33:05
60,29,"Hoy se revisó el Procore y ya actualizaron la fecha para 07/21/25. Estamos en Past Due, pero Kevin va a llamar a Brandon Bamonte para ver si podemos tener una exptensión.",Admin,2025-07-23 13:46:48
61,29,"El proyecto ha sido asignado a Gerardo hoy. Estamos a la espera del nuevo Due Date, pero ya se inició la estimación.",Admin,2025-07-23 14:16:53
62,49,En los archivos de Pre Construction lo encontramos como Downtown Pineville Apartments,Admin,2025-07-23 14:54:19
63,26,Kevin se comunicó con Elford y le dijeron que esté a la espera de los nuevos planos para compatibilizar y generar un nuevo proposal.,Admin,2025-07-23 15:46:42
64,64,Kevin enviará el Proposal el viernes 25 de Julio.,Admin,2025-07-23 15:49:07
65,13,Kevin envió el proposal por separado el 14 de Julio.,Admin,2025-07-23 15:51:44
66,33,"Kevin envió el proposal actualizado a Eric Nance, el monto del proposal es : $530, 840.00",Admin,2025-07-24 19:59:12
67,33,"Eric nace, asked for pricing rigid insulation and furring below podium at metal framing per Wall Type 9B",Admin,2025-07-24 20:06:18
68,68,"Per the current construction schedule, we are set to begin the T&G ceiling installation on 11/17/25 and the Bark Shake siding installation on 12/15/25",Admin,2025-07-29 19:52:03
69,69,"Awarded this project, waiting on an updated from Dillon.
",Admin,2025-07-29 20:01:54
70,29,Enviamos el proposal que Gerardo terminó y estamos a la espera de la respuesta de Brandon.,Admin,2025-07-30 18:26:10
77,10,test,Admin,2025-07-30 18:57:15
78,27,Enviamos el proposal de siding y brick.,Admin,2025-08-01 13:50:27
81,76,"Please use this email as your invitation to Bid Cedarwood Country Club CD's - New Amenity Building and Pool Renovation - Updated CD Drawings. 

This is the updated set for pricing - if you have any RFI's for this set, please submit them by 08/11 - pricing due date is 08/15.

VE options are welcome. Please either let me know about substitution, or just denote VE's as alternates in your proposal.

This is our project, and we're very excited to partner with the club on it",Admin,2025-08-04 12:19:11
